"book_name","department","study_level","read_count"
"Case of the Lame Canary, The","DANCE","UNDERGRAD",5
"Case of the Lame Canary, The","ECONOMICS","UNDERGRAD",5
"Case of the Lame Canary, The","ENGLISH","GRAD",1
"Case of the Lame Canary, The","ENGLISH","UNDERGRAD",3
"Case of the Lame Canary, The","MATHEMATICS","GRAD",1
"Case of the Lame Canary, The","MATHEMATICS","UNDERGRAD",1
"Case of the Lame Canary, The","POLITICAL_SCIENCE","GRAD",6
"Case of the Lame Canary, The","POLITICAL_SCIENCE","UNDERGRAD",3
"Case of the Lame Canary, The","PSYCHOLOGY","GRAD",3
"Case of the Lame Canary, The","PSYCHOLOGY","UNDERGRAD",2
"Case of the Lame Canary, The","STATISTICS","GRAD",2
"Case of the Lame Canary, The","STATISTICS","UNDERGRAD",3
"Catch 22","COMPUTER_SCIENCE","GRAD",6
"Catch 22","COMPUTER_SCIENCE","UNDERGRAD",6
"Catch 22","DANCE","GRAD",1
"Catch 22","DANCE","UNDERGRAD",4
"Catch 22","ECONOMICS","GRAD",5
"Catch 22","ECONOMICS","UNDERGRAD",1
"Catch 22","ENGLISH","GRAD",3
"Catch 22","ENGLISH","UNDERGRAD",6
"Catch 22","MATHEMATICS","GRAD",3
"Catch 22","MATHEMATICS","UNDERGRAD",5
"Catch 22","POLITICAL_SCIENCE","GRAD",2
"Catch 22","PSYCHOLOGY","GRAD",3
"Catch 22","PSYCHOLOGY","UNDERGRAD",4
"Catch 22","STATISTICS","GRAD",1
"Catch 22","STATISTICS","UNDERGRAD",1
"Cathedral and the Bazaar, The","COMPUTER_SCIENCE","GRAD",4
"Cathedral and the Bazaar, The","COMPUTER_SCIENCE","UNDERGRAD",1
"Cathedral and the Bazaar, The","DANCE","GRAD",4
"Cathedral and the Bazaar, The","DANCE","UNDERGRAD",4
"Cathedral and the Bazaar, The","ECONOMICS","GRAD",3
"Cathedral and the Bazaar, The","ECONOMICS","UNDERGRAD",4
"Cathedral and the Bazaar, The","ENGLISH","UNDERGRAD",3
"Cathedral and the Bazaar, The","MATHEMATICS","GRAD",3
"Cathedral and the Bazaar, The","MATHEMATICS","UNDERGRAD",4
"Cathedral and the Bazaar, The","POLITICAL_SCIENCE","GRAD",9
"Cathedral and the Bazaar, The","POLITICAL_SCIENCE","UNDERGRAD",4
"Cathedral and the Bazaar, The","PSYCHOLOGY","GRAD",3
"Cathedral and the Bazaar, The","PSYCHOLOGY","UNDERGRAD",3
"Cathedral and the Bazaar, The","STATISTICS","UNDERGRAD",2
"Char Shabda","COMPUTER_SCIENCE","GRAD",2
"Char Shabda","COMPUTER_SCIENCE","UNDERGRAD",4
"Char Shabda","DANCE","GRAD",4
"Char Shabda","DANCE","UNDERGRAD",7
"Char Shabda","ECONOMICS","GRAD",5
"Char Shabda","ECONOMICS","UNDERGRAD",6
"Char Shabda","ENGLISH","GRAD",2
"Char Shabda","ENGLISH","UNDERGRAD",3
"Char Shabda","MATHEMATICS","GRAD",4
"Char Shabda","MATHEMATICS","UNDERGRAD",4
"Char Shabda","POLITICAL_SCIENCE","GRAD",4
"Char Shabda","PSYCHOLOGY","GRAD",5
"Char Shabda","PSYCHOLOGY","UNDERGRAD",1
"Char Shabda","STATISTICS","GRAD",4
"Christmas Carol, A","COMPUTER_SCIENCE","GRAD",4
"Christmas Carol, A","COMPUTER_SCIENCE","UNDERGRAD",4
"Christmas Carol, A","DANCE","GRAD",5
"Christmas Carol, A","DANCE","UNDERGRAD",7
"Christmas Carol, A","ECONOMICS","GRAD",2
"Christmas Carol, A","ECONOMICS","UNDERGRAD",1
"Christmas Carol, A","ENGLISH","GRAD",4
"Christmas Carol, A","ENGLISH","UNDERGRAD",3
"Christmas Carol, A","MATHEMATICS","GRAD",1
"Christmas Carol, A","POLITICAL_SCIENCE","GRAD",7
"Christmas Carol, A","POLITICAL_SCIENCE","UNDERGRAD",7
"Christmas Carol, A","PSYCHOLOGY","GRAD",2
"Christmas Carol, A","PSYCHOLOGY","UNDERGRAD",4
"Christmas Carol, A","STATISTICS","GRAD",4
"Christmas Carol, A","STATISTICS","UNDERGRAD",3
"City of Djinns","COMPUTER_SCIENCE","GRAD",3
"City of Djinns","COMPUTER_SCIENCE","UNDERGRAD",6
"City of Djinns","DANCE","GRAD",2
"City of Djinns","DANCE","UNDERGRAD",6
"City of Djinns","ECONOMICS","GRAD",2
"City of Djinns","ECONOMICS","UNDERGRAD",2
"City of Djinns","ENGLISH","GRAD",1
"City of Djinns","ENGLISH","UNDERGRAD",5
"City of Djinns","MATHEMATICS","GRAD",1
"City of Djinns","MATHEMATICS","UNDERGRAD",4
"City of Djinns","POLITICAL_SCIENCE","GRAD",2
"City of Djinns","POLITICAL_SCIENCE","UNDERGRAD",1
"City of Djinns","PSYCHOLOGY","UNDERGRAD",1
"City of Djinns","STATISTICS","GRAD",3
"City of Djinns","STATISTICS","UNDERGRAD",2
"City of Joy, The","COMPUTER_SCIENCE","GRAD",2
"City of Joy, The","COMPUTER_SCIENCE","UNDERGRAD",1
"City of Joy, The","DANCE","GRAD",3
"City of Joy, The","DANCE","UNDERGRAD",5
"City of Joy, The","ECONOMICS","GRAD",2
"City of Joy, The","ECONOMICS","UNDERGRAD",6
"City of Joy, The","ENGLISH","GRAD",2
"City of Joy, The","ENGLISH","UNDERGRAD",4
"City of Joy, The","MATHEMATICS","GRAD",4
"City of Joy, The","MATHEMATICS","UNDERGRAD",2
"City of Joy, The","POLITICAL_SCIENCE","GRAD",4
"City of Joy, The","POLITICAL_SCIENCE","UNDERGRAD",2
"City of Joy, The","PSYCHOLOGY","GRAD",5
"City of Joy, The","PSYCHOLOGY","UNDERGRAD",4
"City of Joy, The","STATISTICS","GRAD",4
"City of Joy, The","STATISTICS","UNDERGRAD",4
"Clash of Civilizations and Remaking of the World Order","COMPUTER_SCIENCE","GRAD",3
"Clash of Civilizations and Remaking of the World Order","COMPUTER_SCIENCE","UNDERGRAD",2
"Clash of Civilizations and Remaking of the World Order","DANCE","GRAD",2
"Clash of Civilizations and Remaking of the World Order","DANCE","UNDERGRAD",5
"Clash of Civilizations and Remaking of the World Order","ECONOMICS","GRAD",2
"Clash of Civilizations and Remaking of the World Order","ECONOMICS","UNDERGRAD",3
"Clash of Civilizations and Remaking of the World Order","ENGLISH","GRAD",4
"Clash of Civilizations and Remaking of the World Order","ENGLISH","UNDERGRAD",4
"Clash of Civilizations and Remaking of the World Order","MATHEMATICS","GRAD",4
"Clash of Civilizations and Remaking of the World Order","MATHEMATICS","UNDERGRAD",2
"Clash of Civilizations and Remaking of the World Order","POLITICAL_SCIENCE","GRAD",6
"Clash of Civilizations and Remaking of the World Order","POLITICAL_SCIENCE","UNDERGRAD",1
"Clash of Civilizations and Remaking of the World Order","PSYCHOLOGY","GRAD",3
"Clash of Civilizations and Remaking of the World Order","PSYCHOLOGY","UNDERGRAD",1
"Clash of Civilizations and Remaking of the World Order","STATISTICS","GRAD",4
"Clash of Civilizations and Remaking of the World Order","STATISTICS","UNDERGRAD",5
"Code Book, The","COMPUTER_SCIENCE","GRAD",3
"Code Book, The","COMPUTER_SCIENCE","UNDERGRAD",5
"Code Book, The","DANCE","GRAD",1
"Code Book, The","DANCE","UNDERGRAD",4
"Code Book, The","ECONOMICS","GRAD",1
"Code Book, The","ECONOMICS","UNDERGRAD",4
"Code Book, The","ENGLISH","GRAD",1
"Code Book, The","ENGLISH","UNDERGRAD",3
"Code Book, The","MATHEMATICS","GRAD",4
"Code Book, The","MATHEMATICS","UNDERGRAD",4
"Code Book, The","POLITICAL_SCIENCE","GRAD",3
"Code Book, The","POLITICAL_SCIENCE","UNDERGRAD",5
"Code Book, The","PSYCHOLOGY","GRAD",6
"Code Book, The","PSYCHOLOGY","UNDERGRAD",1
"Code Book, The","STATISTICS","GRAD",6
"Code Book, The","STATISTICS","UNDERGRAD",1
"Complete Mastermind, The","COMPUTER_SCIENCE","GRAD",2
"Complete Mastermind, The","COMPUTER_SCIENCE","UNDERGRAD",1
"Complete Mastermind, The","DANCE","GRAD",3
"Complete Mastermind, The","DANCE","UNDERGRAD",6
"Complete Mastermind, The","ECONOMICS","GRAD",4
"Complete Mastermind, The","ECONOMICS","UNDERGRAD",3
"Complete Mastermind, The","ENGLISH","GRAD",2
"Complete Mastermind, The","ENGLISH","UNDERGRAD",4
"Complete Mastermind, The","MATHEMATICS","GRAD",4
"Complete Mastermind, The","MATHEMATICS","UNDERGRAD",1
"Complete Mastermind, The","POLITICAL_SCIENCE","GRAD",1
"Complete Mastermind, The","POLITICAL_SCIENCE","UNDERGRAD",2
"Complete Mastermind, The","PSYCHOLOGY","GRAD",6
"Complete Mastermind, The","PSYCHOLOGY","UNDERGRAD",4
"Complete Mastermind, The","STATISTICS","GRAD",3
"Complete Mastermind, The","STATISTICS","UNDERGRAD",1
"Complete Sherlock Holmes, The - Vol I","COMPUTER_SCIENCE","GRAD",7
"Complete Sherlock Holmes, The - Vol I","COMPUTER_SCIENCE","UNDERGRAD",3
"Complete Sherlock Holmes, The - Vol I","DANCE","GRAD",3
"Complete Sherlock Holmes, The - Vol I","DANCE","UNDERGRAD",5
"Complete Sherlock Holmes, The - Vol I","ECONOMICS","GRAD",3
"Complete Sherlock Holmes, The - Vol I","ECONOMICS","UNDERGRAD",2
"Complete Sherlock Holmes, The - Vol I","ENGLISH","GRAD",1
"Complete Sherlock Holmes, The - Vol I","ENGLISH","UNDERGRAD",1
"Complete Sherlock Holmes, The - Vol I","MATHEMATICS","GRAD",3
"Complete Sherlock Holmes, The - Vol I","MATHEMATICS","UNDERGRAD",3
"Complete Sherlock Holmes, The - Vol I","POLITICAL_SCIENCE","GRAD",5
"Complete Sherlock Holmes, The - Vol I","POLITICAL_SCIENCE","UNDERGRAD",1
"Complete Sherlock Holmes, The - Vol I","PSYCHOLOGY","GRAD",6
"Complete Sherlock Holmes, The - Vol I","PSYCHOLOGY","UNDERGRAD",5
"Complete Sherlock Holmes, The - Vol I","STATISTICS","GRAD",4
"Complete Sherlock Holmes, The - Vol I","STATISTICS","UNDERGRAD",5
"Complete Sherlock Holmes, The - Vol II","COMPUTER_SCIENCE","UNDERGRAD",1
"Complete Sherlock Holmes, The - Vol II","DANCE","GRAD",4
"Complete Sherlock Holmes, The - Vol II","DANCE","UNDERGRAD",6
"Complete Sherlock Holmes, The - Vol II","ECONOMICS","GRAD",2
"Complete Sherlock Holmes, The - Vol II","ECONOMICS","UNDERGRAD",6
"Complete Sherlock Holmes, The - Vol II","ENGLISH","GRAD",4
"Complete Sherlock Holmes, The - Vol II","ENGLISH","UNDERGRAD",1
"Complete Sherlock Holmes, The - Vol II","MATHEMATICS","GRAD",3
"Complete Sherlock Holmes, The - Vol II","MATHEMATICS","UNDERGRAD",5
"Complete Sherlock Holmes, The - Vol II","POLITICAL_SCIENCE","GRAD",4
"Complete Sherlock Holmes, The - Vol II","POLITICAL_SCIENCE","UNDERGRAD",3
"Complete Sherlock Holmes, The - Vol II","PSYCHOLOGY","GRAD",2
"Complete Sherlock Holmes, The - Vol II","PSYCHOLOGY","UNDERGRAD",3
"Complete Sherlock Holmes, The - Vol II","STATISTICS","GRAD",7
"Complete Sherlock Holmes, The - Vol II","STATISTICS","UNDERGRAD",1
"Computer Vision, A Modern Approach","COMPUTER_SCIENCE","GRAD",6
"Computer Vision, A Modern Approach","COMPUTER_SCIENCE","UNDERGRAD",4
"Computer Vision, A Modern Approach","DANCE","GRAD",2
"Computer Vision, A Modern Approach","DANCE","UNDERGRAD",3
"Computer Vision, A Modern Approach","ECONOMICS","GRAD",4
"Computer Vision, A Modern Approach","ECONOMICS","UNDERGRAD",1
"Computer Vision, A Modern Approach","ENGLISH","UNDERGRAD",1
"Computer Vision, A Modern Approach","MATHEMATICS","GRAD",2
"Computer Vision, A Modern Approach","MATHEMATICS","UNDERGRAD",1
"Computer Vision, A Modern Approach","POLITICAL_SCIENCE","GRAD",1
"Computer Vision, A Modern Approach","PSYCHOLOGY","GRAD",5
"Computer Vision, A Modern Approach","PSYCHOLOGY","UNDERGRAD",3
"Computer Vision, A Modern Approach","STATISTICS","GRAD",5
"Computer Vision, A Modern Approach","STATISTICS","UNDERGRAD",5
"Courtroom Genius, The","COMPUTER_SCIENCE","GRAD",3
"Courtroom Genius, The","COMPUTER_SCIENCE","UNDERGRAD",7
"Courtroom Genius, The","DANCE","GRAD",4
"Courtroom Genius, The","DANCE","UNDERGRAD",5
"Courtroom Genius, The","ECONOMICS","GRAD",1
"Courtroom Genius, The","ECONOMICS","UNDERGRAD",3
"Courtroom Genius, The","ENGLISH","GRAD",4
"Courtroom Genius, The","ENGLISH","UNDERGRAD",5
"Courtroom Genius, The","MATHEMATICS","GRAD",4
"Courtroom Genius, The","MATHEMATICS","UNDERGRAD",2
"Courtroom Genius, The","POLITICAL_SCIENCE","GRAD",5
"Courtroom Genius, The","POLITICAL_SCIENCE","UNDERGRAD",2
"Courtroom Genius, The","PSYCHOLOGY","UNDERGRAD",3
"Courtroom Genius, The","STATISTICS","GRAD",4
"Courtroom Genius, The","STATISTICS","UNDERGRAD",2
"Crime and Punishment","COMPUTER_SCIENCE","GRAD",4
"Crime and Punishment","COMPUTER_SCIENCE","UNDERGRAD",5
"Crime and Punishment","DANCE","GRAD",2
"Crime and Punishment","DANCE","UNDERGRAD",3
"Crime and Punishment","ECONOMICS","GRAD",1
"Crime and Punishment","ECONOMICS","UNDERGRAD",6
"Crime and Punishment","ENGLISH","GRAD",4
"Crime and Punishment","ENGLISH","UNDERGRAD",1
"Crime and Punishment","MATHEMATICS","GRAD",2
"Crime and Punishment","MATHEMATICS","UNDERGRAD",2
"Crime and Punishment","POLITICAL_SCIENCE","GRAD",7
"Crime and Punishment","POLITICAL_SCIENCE","UNDERGRAD",1
"Crime and Punishment","PSYCHOLOGY","GRAD",3
"Crime and Punishment","PSYCHOLOGY","UNDERGRAD",4
"Crime and Punishment","STATISTICS","GRAD",2
"Crime and Punishment","STATISTICS","UNDERGRAD",1
"Crisis on Infinite Earths","COMPUTER_SCIENCE","GRAD",3
"Crisis on Infinite Earths","COMPUTER_SCIENCE","UNDERGRAD",4
"Crisis on Infinite Earths","DANCE","GRAD",4
"Crisis on Infinite Earths","DANCE","UNDERGRAD",6
"Crisis on Infinite Earths","ECONOMICS","GRAD",2
"Crisis on Infinite Earths","ECONOMICS","UNDERGRAD",2
"Crisis on Infinite Earths","ENGLISH","GRAD",3
"Crisis on Infinite Earths","ENGLISH","UNDERGRAD",3
"Crisis on Infinite Earths","MATHEMATICS","GRAD",3
"Crisis on Infinite Earths","MATHEMATICS","UNDERGRAD",2
"Crisis on Infinite Earths","POLITICAL_SCIENCE","GRAD",4
"Crisis on Infinite Earths","POLITICAL_SCIENCE","UNDERGRAD",6
"Crisis on Infinite Earths","PSYCHOLOGY","GRAD",6
"Crisis on Infinite Earths","PSYCHOLOGY","UNDERGRAD",1
"Crisis on Infinite Earths","STATISTICS","GRAD",6
"Crisis on Infinite Earths","STATISTICS","UNDERGRAD",5
"Data Analysis with Open Source Tools","COMPUTER_SCIENCE","GRAD",5
"Data Analysis with Open Source Tools","COMPUTER_SCIENCE","UNDERGRAD",2
"Data Analysis with Open Source Tools","DANCE","GRAD",3
"Data Analysis with Open Source Tools","DANCE","UNDERGRAD",5
"Data Analysis with Open Source Tools","ECONOMICS","GRAD",5
"Data Analysis with Open Source Tools","ECONOMICS","UNDERGRAD",2
"Data Analysis with Open Source Tools","ENGLISH","GRAD",2
"Data Analysis with Open Source Tools","ENGLISH","UNDERGRAD",3
"Data Analysis with Open Source Tools","MATHEMATICS","GRAD",4
"Data Analysis with Open Source Tools","MATHEMATICS","UNDERGRAD",6
"Data Analysis with Open Source Tools","POLITICAL_SCIENCE","GRAD",1
"Data Analysis with Open Source Tools","POLITICAL_SCIENCE","UNDERGRAD",3
"Data Analysis with Open Source Tools","PSYCHOLOGY","GRAD",1
"Data Analysis with Open Source Tools","PSYCHOLOGY","UNDERGRAD",3
"Data Analysis with Open Source Tools","STATISTICS","GRAD",1
"Data Mining Handbook","COMPUTER_SCIENCE","GRAD",2
"Data Mining Handbook","COMPUTER_SCIENCE","UNDERGRAD",4
"Data Mining Handbook","DANCE","GRAD",4
"Data Mining Handbook","DANCE","UNDERGRAD",2
"Data Mining Handbook","ECONOMICS","GRAD",1
"Data Mining Handbook","ECONOMICS","UNDERGRAD",2
"Data Mining Handbook","ENGLISH","GRAD",3
"Data Mining Handbook","ENGLISH","UNDERGRAD",4
"Data Mining Handbook","MATHEMATICS","GRAD",4
"Data Mining Handbook","MATHEMATICS","UNDERGRAD",3
"Data Mining Handbook","POLITICAL_SCIENCE","GRAD",6
"Data Mining Handbook","POLITICAL_SCIENCE","UNDERGRAD",4
"Data Mining Handbook","PSYCHOLOGY","GRAD",2
"Data Mining Handbook","PSYCHOLOGY","UNDERGRAD",3
"Data Mining Handbook","STATISTICS","GRAD",4
"Data Mining Handbook","STATISTICS","UNDERGRAD",5
"Data Scientists at Work","COMPUTER_SCIENCE","GRAD",4
"Data Scientists at Work","COMPUTER_SCIENCE","UNDERGRAD",4
"Data Scientists at Work","DANCE","GRAD",6
"Data Scientists at Work","DANCE","UNDERGRAD",4
"Data Scientists at Work","ECONOMICS","GRAD",3
"Data Scientists at Work","ECONOMICS","UNDERGRAD",2
"Data Scientists at Work","ENGLISH","GRAD",7
"Data Scientists at Work","ENGLISH","UNDERGRAD",4
"Data Scientists at Work","MATHEMATICS","GRAD",3
"Data Scientists at Work","MATHEMATICS","UNDERGRAD",2
"Data Scientists at Work","POLITICAL_SCIENCE","GRAD",4
"Data Scientists at Work","PSYCHOLOGY","GRAD",4
"Data Scientists at Work","PSYCHOLOGY","UNDERGRAD",4
"Data Scientists at Work","STATISTICS","GRAD",2
"Data Scientists at Work","STATISTICS","UNDERGRAD",2
"Data Smart","COMPUTER_SCIENCE","GRAD",5
"Data Smart","COMPUTER_SCIENCE","UNDERGRAD",3
"Data Smart","DANCE","GRAD",4
"Data Smart","DANCE","UNDERGRAD",4
"Data Smart","ECONOMICS","GRAD",1
"Data Smart","ECONOMICS","UNDERGRAD",3
"Data Smart","ENGLISH","GRAD",5
"Data Smart","ENGLISH","UNDERGRAD",2
"Data Smart","MATHEMATICS","GRAD",4
"Data Smart","MATHEMATICS","UNDERGRAD",2
"Data Smart","POLITICAL_SCIENCE","GRAD",3
"Data Smart","POLITICAL_SCIENCE","UNDERGRAD",3
"Data Smart","PSYCHOLOGY","GRAD",4
"Data Smart","PSYCHOLOGY","UNDERGRAD",3
"Data Smart","STATISTICS","GRAD",3
"Data Smart","STATISTICS","UNDERGRAD",1
"Data Structures Using C & C++","COMPUTER_SCIENCE","GRAD",6
"Data Structures Using C & C++","COMPUTER_SCIENCE","UNDERGRAD",3
"Data Structures Using C & C++","DANCE","GRAD",4
"Data Structures Using C & C++","DANCE","UNDERGRAD",3
"Data Structures Using C & C++","ECONOMICS","GRAD",3
"Data Structures Using C & C++","ECONOMICS","UNDERGRAD",3
"Data Structures Using C & C++","ENGLISH","GRAD",3
"Data Structures Using C & C++","ENGLISH","UNDERGRAD",2
"Data Structures Using C & C++","MATHEMATICS","GRAD",2
"Data Structures Using C & C++","MATHEMATICS","UNDERGRAD",4
"Data Structures Using C & C++","POLITICAL_SCIENCE","GRAD",4
"Data Structures Using C & C++","POLITICAL_SCIENCE","UNDERGRAD",3
"Data Structures Using C & C++","PSYCHOLOGY","GRAD",2
"Data Structures Using C & C++","PSYCHOLOGY","UNDERGRAD",2
"Data Structures Using C & C++","STATISTICS","GRAD",2
"Data Structures Using C & C++","STATISTICS","UNDERGRAD",5
"Death of Superman, The","COMPUTER_SCIENCE","GRAD",8
"Death of Superman, The","COMPUTER_SCIENCE","UNDERGRAD",6
"Death of Superman, The","DANCE","GRAD",3
"Death of Superman, The","DANCE","UNDERGRAD",3
"Death of Superman, The","ECONOMICS","GRAD",2
"Death of Superman, The","ECONOMICS","UNDERGRAD",1
"Death of Superman, The","ENGLISH","GRAD",1
"Death of Superman, The","ENGLISH","UNDERGRAD",4
"Death of Superman, The","MATHEMATICS","GRAD",7
"Death of Superman, The","MATHEMATICS","UNDERGRAD",6
"Death of Superman, The","POLITICAL_SCIENCE","UNDERGRAD",4
"Death of Superman, The","PSYCHOLOGY","GRAD",2
"Death of Superman, The","PSYCHOLOGY","UNDERGRAD",2
"Death of Superman, The","STATISTICS","GRAD",1
"Death of Superman, The","STATISTICS","UNDERGRAD",5
"Deceiver, The","COMPUTER_SCIENCE","GRAD",6
"Deceiver, The","COMPUTER_SCIENCE","UNDERGRAD",1
"Deceiver, The","DANCE","GRAD",4
"Deceiver, The","DANCE","UNDERGRAD",4
"Deceiver, The","ECONOMICS","GRAD",3
"Deceiver, The","ECONOMICS","UNDERGRAD",2
"Deceiver, The","ENGLISH","GRAD",7
"Deceiver, The","ENGLISH","UNDERGRAD",3
"Deceiver, The","MATHEMATICS","GRAD",3
"Deceiver, The","MATHEMATICS","UNDERGRAD",5
"Deceiver, The","POLITICAL_SCIENCE","UNDERGRAD",5
"Deceiver, The","PSYCHOLOGY","GRAD",6
"Deceiver, The","PSYCHOLOGY","UNDERGRAD",1
"Deceiver, The","STATISTICS","GRAD",2
"Deceiver, The","STATISTICS","UNDERGRAD",4
"Design with OpAmps","COMPUTER_SCIENCE","GRAD",3
"Design with OpAmps","COMPUTER_SCIENCE","UNDERGRAD",3
"Design with OpAmps","DANCE","GRAD",3
"Design with OpAmps","DANCE","UNDERGRAD",8
"Design with OpAmps","ECONOMICS","GRAD",3
"Design with OpAmps","ECONOMICS","UNDERGRAD",3
"Design with OpAmps","ENGLISH","GRAD",4
"Design with OpAmps","ENGLISH","UNDERGRAD",4
"Design with OpAmps","MATHEMATICS","GRAD",3
"Design with OpAmps","MATHEMATICS","UNDERGRAD",2
"Design with OpAmps","POLITICAL_SCIENCE","GRAD",8
"Design with OpAmps","POLITICAL_SCIENCE","UNDERGRAD",2
"Design with OpAmps","PSYCHOLOGY","GRAD",5
"Design with OpAmps","PSYCHOLOGY","UNDERGRAD",4
"Design with OpAmps","STATISTICS","GRAD",4
"Design with OpAmps","STATISTICS","UNDERGRAD",1
"Devil's Advocate, The","COMPUTER_SCIENCE","GRAD",2
"Devil's Advocate, The","COMPUTER_SCIENCE","UNDERGRAD",5
"Devil's Advocate, The","DANCE","GRAD",5
"Devil's Advocate, The","DANCE","UNDERGRAD",4
"Devil's Advocate, The","ECONOMICS","GRAD",1
"Devil's Advocate, The","ECONOMICS","UNDERGRAD",5
"Devil's Advocate, The","ENGLISH","GRAD",5
"Devil's Advocate, The","ENGLISH","UNDERGRAD",1
"Devil's Advocate, The","MATHEMATICS","UNDERGRAD",2
"Devil's Advocate, The","POLITICAL_SCIENCE","GRAD",2
"Devil's Advocate, The","POLITICAL_SCIENCE","UNDERGRAD",1
"Devil's Advocate, The","PSYCHOLOGY","GRAD",4
"Devil's Advocate, The","PSYCHOLOGY","UNDERGRAD",4
"Devil's Advocate, The","STATISTICS","GRAD",8
"Devil's Advocate, The","STATISTICS","UNDERGRAD",4
"Discovery of India, The","COMPUTER_SCIENCE","GRAD",5
"Discovery of India, The","COMPUTER_SCIENCE","UNDERGRAD",4
"Discovery of India, The","DANCE","GRAD",2
"Discovery of India, The","DANCE","UNDERGRAD",3
"Discovery of India, The","ECONOMICS","GRAD",3
"Discovery of India, The","ECONOMICS","UNDERGRAD",3
"Discovery of India, The","ENGLISH","GRAD",7
"Discovery of India, The","ENGLISH","UNDERGRAD",5
"Discovery of India, The","MATHEMATICS","GRAD",3
"Discovery of India, The","MATHEMATICS","UNDERGRAD",5
"Discovery of India, The","POLITICAL_SCIENCE","GRAD",3
"Discovery of India, The","POLITICAL_SCIENCE","UNDERGRAD",3
"Discovery of India, The","PSYCHOLOGY","GRAD",3
"Discovery of India, The","PSYCHOLOGY","UNDERGRAD",1
"Discovery of India, The","STATISTICS","GRAD",4
"Discovery of India, The","STATISTICS","UNDERGRAD",3
"Doctor in the Nude","COMPUTER_SCIENCE","GRAD",3
"Doctor in the Nude","COMPUTER_SCIENCE","UNDERGRAD",2
"Doctor in the Nude","DANCE","GRAD",3
"Doctor in the Nude","DANCE","UNDERGRAD",6
"Doctor in the Nude","ECONOMICS","GRAD",4
"Doctor in the Nude","ECONOMICS","UNDERGRAD",2
"Doctor in the Nude","ENGLISH","GRAD",4
"Doctor in the Nude","ENGLISH","UNDERGRAD",3
"Doctor in the Nude","MATHEMATICS","GRAD",1
"Doctor in the Nude","MATHEMATICS","UNDERGRAD",1
"Doctor in the Nude","POLITICAL_SCIENCE","GRAD",3
"Doctor in the Nude","POLITICAL_SCIENCE","UNDERGRAD",3
"Doctor in the Nude","PSYCHOLOGY","GRAD",1
"Doctor in the Nude","STATISTICS","GRAD",6
"Doctor in the Nude","STATISTICS","UNDERGRAD",5
"Doctor on the Brain","COMPUTER_SCIENCE","GRAD",2
"Doctor on the Brain","COMPUTER_SCIENCE","UNDERGRAD",5
"Doctor on the Brain","DANCE","GRAD",4
"Doctor on the Brain","DANCE","UNDERGRAD",4
"Doctor on the Brain","ECONOMICS","GRAD",4
"Doctor on the Brain","ECONOMICS","UNDERGRAD",3
"Doctor on the Brain","ENGLISH","GRAD",2
"Doctor on the Brain","ENGLISH","UNDERGRAD",1
"Doctor on the Brain","MATHEMATICS","GRAD",4
"Doctor on the Brain","MATHEMATICS","UNDERGRAD",9
"Doctor on the Brain","POLITICAL_SCIENCE","GRAD",5
"Doctor on the Brain","POLITICAL_SCIENCE","UNDERGRAD",4
"Doctor on the Brain","PSYCHOLOGY","GRAD",4
"Doctor on the Brain","PSYCHOLOGY","UNDERGRAD",1
"Doctor on the Brain","STATISTICS","GRAD",1
"Doctor on the Brain","STATISTICS","UNDERGRAD",6
"Dongri to Dubai","COMPUTER_SCIENCE","GRAD",3
"Dongri to Dubai","DANCE","GRAD",1
"Dongri to Dubai","DANCE","UNDERGRAD",3
"Dongri to Dubai","ECONOMICS","GRAD",3
"Dongri to Dubai","ECONOMICS","UNDERGRAD",5
"Dongri to Dubai","ENGLISH","GRAD",5
"Dongri to Dubai","ENGLISH","UNDERGRAD",8
"Dongri to Dubai","MATHEMATICS","GRAD",5
"Dongri to Dubai","MATHEMATICS","UNDERGRAD",1
"Dongri to Dubai","POLITICAL_SCIENCE","GRAD",2
"Dongri to Dubai","PSYCHOLOGY","GRAD",1
"Dongri to Dubai","PSYCHOLOGY","UNDERGRAD",2
"Dongri to Dubai","STATISTICS","GRAD",4
"Dongri to Dubai","STATISTICS","UNDERGRAD",3
"Down and Out in Paris & London","COMPUTER_SCIENCE","GRAD",6
"Down and Out in Paris & London","COMPUTER_SCIENCE","UNDERGRAD",4
"Down and Out in Paris & London","DANCE","GRAD",2
"Down and Out in Paris & London","DANCE","UNDERGRAD",5
"Down and Out in Paris & London","ECONOMICS","GRAD",3
"Down and Out in Paris & London","ECONOMICS","UNDERGRAD",4
"Down and Out in Paris & London","ENGLISH","GRAD",5
"Down and Out in Paris & London","ENGLISH","UNDERGRAD",5
"Down and Out in Paris & London","MATHEMATICS","GRAD",5
"Down and Out in Paris & London","MATHEMATICS","UNDERGRAD",4
"Down and Out in Paris & London","POLITICAL_SCIENCE","GRAD",6
"Down and Out in Paris & London","POLITICAL_SCIENCE","UNDERGRAD",3
"Down and Out in Paris & London","PSYCHOLOGY","GRAD",4
"Down and Out in Paris & London","PSYCHOLOGY","UNDERGRAD",6
"Down and Out in Paris & London","STATISTICS","GRAD",4
"Down and Out in Paris & London","STATISTICS","UNDERGRAD",4
"Drunkard's Walk, The","COMPUTER_SCIENCE","GRAD",4
"Drunkard's Walk, The","COMPUTER_SCIENCE","UNDERGRAD",6
"Drunkard's Walk, The","DANCE","GRAD",3
